Order,Season,Episode,Character Killed,Killer,Method,Method Category,Reason,Location,Importance,Allegiance death,Allegiance killer
2564,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2565,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2566,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2567,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2568,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2569,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2570,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2571,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2572,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2573,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2574,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2575,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2576,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2577,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2578,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2579,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2580,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2581,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2582,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2583,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2584,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2585,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2586,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2587,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2588,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2589,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2590,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2591,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2592,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2593,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2594,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2595,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2596,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2597,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2598,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2599,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2600,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2601,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2602,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2603,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2604,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2605,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2606,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2607,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2608,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2609,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2610,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2611,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2612,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2613,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2614,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2615,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2616,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2617,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2618,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2619,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2620,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2621,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2622,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2623,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2624,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2625,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2626,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2627,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2628,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2629,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2630,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2631,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2632,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2633,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2634,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2635,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2636,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2637,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2638,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2639,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2640,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2641,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2642,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2643,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2644,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2645,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2646,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2647,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2648,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2649,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2650,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2651,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2652,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2653,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2654,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2655,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2656,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2657,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2658,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2659,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2660,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2661,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2662,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2663,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2664,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2665,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2666,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2667,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2668,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2669,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2670,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2671,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2672,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2673,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2674,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2675,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2676,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2677,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2678,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2679,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2680,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2681,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2682,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2683,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2684,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2685,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2686,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2687,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2688,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2689,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2690,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2691,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2692,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2693,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2694,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2695,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2696,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2697,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2698,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2699,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2700,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2701,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2702,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2703,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2704,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2705,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2706,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2707,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2708,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2709,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2710,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2711,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2712,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2713,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2714,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2715,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2716,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2717,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2718,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2719,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2720,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2721,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2722,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2723,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2724,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2725,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2726,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2727,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2728,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2729,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2730,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2731,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2732,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2733,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2734,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2735,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2736,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2737,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2738,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2739,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2740,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2741,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2742,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2743,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2744,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2745,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2746,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2747,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2748,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2749,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2750,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2751,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2752,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2753,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2754,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2755,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2756,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2757,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2758,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2759,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2760,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2761,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2762,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2763,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2764,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2765,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2766,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2767,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2768,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2769,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2770,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2771,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2772,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2773,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2774,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2775,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2776,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2777,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2778,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2779,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2780,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2781,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2782,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2783,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2784,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2785,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2786,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2787,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2788,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2789,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2790,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2791,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2792,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2793,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2794,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2795,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2796,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2797,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2798,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2799,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2800,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2801,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2802,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2803,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2804,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2805,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
2806,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,,
2807,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,1.0,House Targaryen,
