order,Season,Episode,character_killed,killer,method,method_cat,reason,location,allegiance,importance,No. overall,Title,Directed by,Written by,Novel(s) adapted,Original air date,U.S. viewers(millions),Imdb rating
2875,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,House Targaryen,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2876,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2877,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,House Targaryen,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2878,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2879,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,House Targaryen,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2880,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2881,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,House Targaryen,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2882,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2883,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,House Targaryen,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2884,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2885,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,House Targaryen,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2886,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2887,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,House Targaryen,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2888,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2889,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,House Targaryen,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2890,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2891,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,House Targaryen,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2892,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2893,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,House Targaryen,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2894,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2895,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,House Targaryen,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2896,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2897,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,House Targaryen,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2898,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2899,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,House Targaryen,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2900,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2901,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,House Targaryen,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2902,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2903,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,House Targaryen,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2904,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2905,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,House Targaryen,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2906,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2907,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,House Targaryen,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2908,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2909,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,House Targaryen,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2910,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2911,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,House Targaryen,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2912,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2913,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,House Targaryen,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2914,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2915,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,House Targaryen,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2916,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2917,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,House Targaryen,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2918,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2919,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,House Targaryen,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2920,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2921,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,House Targaryen,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2922,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2923,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,House Targaryen,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2924,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2925,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,House Targaryen,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2926,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2927,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,House Targaryen,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2928,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2929,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,House Targaryen,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2930,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2931,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,House Targaryen,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2932,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2933,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,House Targaryen,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2934,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2935,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,House Targaryen,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2936,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2937,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,House Targaryen,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2938,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2939,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,House Targaryen,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2940,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2941,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,House Targaryen,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2942,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2943,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,House Targaryen,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2944,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2945,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,House Targaryen,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2946,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2947,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,House Targaryen,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2948,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2949,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,House Targaryen,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2950,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2951,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,House Targaryen,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2952,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2953,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,House Targaryen,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2954,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2955,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,House Targaryen,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2956,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2957,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,House Targaryen,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2958,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2959,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,House Targaryen,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2960,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2961,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,House Targaryen,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2962,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2963,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,House Targaryen,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2964,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2965,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,House Targaryen,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2966,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2967,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,House Targaryen,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2968,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2969,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,House Targaryen,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2970,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2971,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,House Targaryen,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2972,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2973,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,House Targaryen,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2974,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2975,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,House Targaryen,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2976,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2977,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,House Targaryen,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2978,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2979,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,House Targaryen,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2980,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2981,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,House Targaryen,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2982,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2983,8,3,Dothraki rider,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,House Targaryen,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
2984,8,3,Horse,Wight,Unknown,Unknown,Killed during the Battle of Winterfell,Winterfell,,1.0,70,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,Outline from A Dream of Spring and original content ,28-Apr-19,12.02,7.4
